"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test get test plans exception.","1","test_get_test_plans_error","src.tests.ado.test_plan","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestPlanApiWrapperNegative","test_unit_ado_test_plan","",""
"","2","test_list_pull_request_diffs_exception","src.tests.ado.repos","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestReposToolsExceptions","test_unit_ado_repos","",""
"","2","test_parse_pull_requests_single","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposToolsPositive","test_unit_ado_repos","",""
"","1","test_create_file_branch_does_not_exist_or_has_no_commits","src.tests.ado.repos","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestReposToolsNegative","test_unit_ado_repos","",""
"Test logger called when API deletion fails","2","test_delete_test_suite_logs_error","src.tests.ado.test_plan","Wed Mar 19 09:43:30 GMT 2025","passed","Wed Mar 19 09:43:30 GMT 2025","TestPlanApiWrapperExceptions","test_unit_ado_test_plan","",""
"","1","test_validate_toolkit_missing_parameters_project[organization_url]","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposApiWrapperValidateToolkit","test_unit_ado_repos","",""
"","2","test_run_tool[get_test_cases-get_test_cases]","src.tests.ado.test_plan","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestPlanApiWrapperValidateToolkit","test_unit_ado_test_plan","",""
"","1","test_list_pull_request_diffs_invalid_id","src.tests.ado.repos","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestReposToolsNegative","test_unit_ado_repos","",""
"Test get test plan exception.","1","test_get_test_plan_error","src.tests.ado.test_plan","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestPlanApiWrapperNegative","test_unit_ado_test_plan","",""
"","3","test_list_pull_request_diffs_success","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposToolsPositive","test_unit_ado_repos","",""
